"","species","decimallongitude","decimallatitude"
"137","Sphyrna lewini",146.093,-17.9892
"138","Sphyrna lewini",114.35,-22.025
"139","Sphyrna lewini",114.25,-31.75
"140","Sphyrna lewini",151.25,-36.25
"141","Sphyrna lewini",153.75,-24.75
"142","Sphyrna lewini",-79.1833343506,31.6583328247
"143","Sphyrna lewini",113.625,-22.475
"144","Sphyrna lewini",-72.0515,39.8384
"145","Sphyrna lewini",114.2,-22.1
"146","Sphyrna lewini",146.1631,-17.9753
"147","Sphyrna lewini",114.15,-22
"148","Sphyrna lewini",146.7714,-19.1581
"149","Sphyrna lewini",114.325,-22
"150","Sphyrna lewini",119.75,-34.75
"151","Sphyrna lewini",154.25,-30.25
"152","Sphyrna lewini",151.4573,-22.60222
"153","Sphyrna lewini",114.325,-21.975
"154","Sphyrna lewini",152.25,-35.25
"155","Sphyrna lewini",153.68333,-28.18333
"156","Sphyrna lewini",113.65,-22.3
"157","Sphyrna lewini",-72.3121,39.2382
"158","Sphyrna lewini",146.12411,-18.2321
"159","Sphyrna lewini",-72.312,39.2382
"160","Sphyrna lewini",153.29667,-30.47167
"161","Sphyrna lewini",145.73933,-8.05417
"162","Sphyrna lewini",-71.8831,39.7066
"163","Sphyrna lewini",127.1088,-11.8656
"164","Sphyrna lewini",113.75,-33.75
"165","Sphyrna lewini",146.129,-17.9912
"166","Sphyrna lewini",-79.3083343506,30.7166662216
"167","Sphyrna lewini",153.25,-24.25
"168","Sphyrna lewini",142.94926,-3.10063
"169","Sphyrna lewini",112.25,-30.25
"170","Sphyrna lewini",-71.8176,40.1738
"171","Sphyrna lewini",146.0696,-18.0559
"172","Sphyrna lewini",114.275,-21.95
"173","Sphyrna lewini",154.75,-29.75
"174","Sphyrna lewini",156.75,-25.25
"175","Sphyrna lewini",146.1033,-17.9458
"176","Sphyrna lewini",113.625,-22.7
"177","Sphyrna lewini",34.8267,25.5722
"178","Sphyrna lewini",-89.1583328247,28.4249992371
"179","Sphyrna lewini",154.25,-29.25
"180","Sphyrna lewini",152.75,-32.25
"181","Sphyrna lewini",146.1189,-17.9661
"182","Sphyrna lewini",-71.8857,40.6927
"183","Sphyrna lewini",-74.7000007629,36.1916656494
"184","Sphyrna lewini",114.375,-22.075
"185","Sphyrna lewini",148.2724,-3.51116
"186","Sphyrna lewini",145.66833,-8.10667
"187","Sphyrna lewini",113.25,-33.25
"188","Sphyrna lewini",150.25,-36.25
"189","Sphyrna lewini",112.75,-27.75
"190","Sphyrna lewini",155.04423,-11.06776
"191","Sphyrna lewini",112.75,-26.75
"192","Sphyrna lewini",113.65,-22.225
"193","Sphyrna lewini",-79.6620025635,32.8330001831
"194","Sphyrna lewini",149.17974,-1.74157
"195","Sphyrna lewini",146.35,-17.825
"196","Sphyrna lewini",114.35,-22.125
"197","Sphyrna lewini",113.9,-21.975
"198","Sphyrna lewini",111.25,-24.25
"199","Sphyrna lewini",113.625,-22.375
"200","Sphyrna lewini",113.875,-22.05
"201","Sphyrna lewini",149.39029,-1.35663
"202","Sphyrna lewini",145.70655,-8.04773
"203","Sphyrna lewini",113.625,-22.65
"204","Sphyrna lewini",114.3,-21.95
"205","Sphyrna lewini",146.1329,-17.8529
"206","Sphyrna lewini",-72.208,39.9429
"207","Sphyrna lewini",146.7922,-19.2126
"208","Sphyrna lewini",-156.704,21.1308
"209","Sphyrna lewini",127.1141,-11.8875
"210","Sphyrna lewini",146.375,-17.975
"211","Sphyrna lewini",-78.1583328247,32.4833335876
